size 2pattern,count: 154
CorePattern{ childAttr=22, parentAttr=[9]} #SUP: 238 #CONF: 0.3276999175597692
CorePattern{ childAttr=22, parentAttr=[10]} #SUP: 233 #CONF: 0.3474855729596043
CorePattern{ childAttr=22, parentAttr=[13]} #SUP: 231 #CONF: 0.38746908491343773
CorePattern{ childAttr=22, parentAttr=[16]} #SUP: 190 #CONF: 0.2522671063478978
CorePattern{ childAttr=6, parentAttr=[1]} #SUP: 245 #CONF: 0.36148919135308244
CorePattern{ childAttr=22, parentAttr=[18]} #SUP: 218 #CONF: 0.24278647980214343
CorePattern{ childAttr=22, parentAttr=[19]} #SUP: 231 #CONF: 0.4229183841714757
CorePattern{ childAttr=6, parentAttr=[7]} #SUP: 236 #CONF: 0.3418734987990392
CorePattern{ childAttr=22, parentAttr=[24]} #SUP: 235 #CONF: 0.47732893652102226
CorePattern{ childAttr=22, parentAttr=[25]} #SUP: 215 #CONF: 0.3070898598516076
CorePattern{ childAttr=6, parentAttr=[9]} #SUP: 246 #CONF: 0.32425940752602084
CorePattern{ childAttr=6, parentAttr=[10]} #SUP: 241 #CONF: 0.36068855084067253
CorePattern{ childAttr=22, parentAttr=[27]} #SUP: 216 #CONF: 0.30131904369332235
CorePattern{ childAttr=6, parentAttr=[18]} #SUP: 238 #CONF: 0.24819855884707767
CorePattern{ childAttr=15, parentAttr=[1]} #SUP: 228 #CONF: 0.3659052453468697
CorePattern{ childAttr=6, parentAttr=[25]} #SUP: 225 #CONF: 0.32506004803843075
CorePattern{ childAttr=15, parentAttr=[4]} #SUP: 222 #CONF: 0.43147208121827413
CorePattern{ childAttr=15, parentAttr=[7]} #SUP: 214 #CONF: 0.32445008460236885
CorePattern{ childAttr=15, parentAttr=[10]} #SUP: 223 #CONF: 0.3477157360406091
CorePattern{ childAttr=7, parentAttr=[3]} #SUP: 190 #CONF: 0.3356643356643357
CorePattern{ childAttr=7, parentAttr=[4]} #SUP: 190 #CONF: 0.42357642357642356
CorePattern{ childAttr=15, parentAttr=[13]} #SUP: 226 #CONF: 0.38451776649746194
CorePattern{ childAttr=7, parentAttr=[7]} #SUP: 180 #CONF: 0.32017982017982016
CorePattern{ childAttr=15, parentAttr=[16]} #SUP: 179 #CONF: 0.23730964467005075
CorePattern{ childAttr=7, parentAttr=[9]} #SUP: 190 #CONF: 0.34965034965034963
CorePattern{ childAttr=15, parentAttr=[18]} #SUP: 210 #CONF: 0.24027072758037224
CorePattern{ childAttr=7, parentAttr=[10]} #SUP: 189 #CONF: 0.36163836163836166
CorePattern{ childAttr=15, parentAttr=[19]} #SUP: 216 #CONF: 0.4149746192893401
